Category,Name,Address,Description,Phone,Hours,Notes,Google Map Link,Gender,age,Bathrooms,
housing,Missionaries of Charity,55 SADOWA (bet. San Jose & Plymouth),Women with or without kids (one girl child; or one boy under 4 years); pregnant women (with proof) may stay up to one month after childbirth; others stay up to one month.,"(415) 586-3449 (9-11:30am, 3:30-5:30pm)",,"Be clean & sober, with proof of negative TB & HIV status, & able to live a communal life. Call for appointment for personal interview. 2 meals daily. Leave the house by 9am. Curfew 5pm. No new shelter guests accepted Th.","https://maps.google.com/maps?q=55+SADOWA+san+francisco&ie=UTF-8&hq=&hnear=0x808f7c2572ff3213:0xf50c87e649276939,55+Sadowa+St,+San+Francisco,+CA+94112&gl=us&ei=gte3UOKOEcmwiQLD5oDACw&ved=0CDUQ8gEwAA",W,,,
housing,Diamond Youth Shelter,536 CENTRAL (at Haight),"Shelter for Youths. Dinner, breakfast, showers, counseling & referrals. Length of stay varies. Guardians contacted within 72 hours.","800-669-6196 (toll-free, 24 hrs.) or 567-1020 (M–F 6pm-8am, Sa-Su 8pm-8am)","Youths 12-17 call; or show up M-F 6:30pm- 7:30am, Sa-Sun 4pm-7:30am.",,"https://maps.google.com/maps?q=536+CENTRAL+san+francisco&ie=UTF-8&hq=&hnear=0x808580b288d3ff8b:0xa336e172cb8be79a,536+Central+Ave,+San+Francisco,+CA+94117&gl=us&ei=nte3UJujBbHSigLi1YHQDg&ved=0CDEQ8gEwAA",,"Y, C",,
housing,Diamond Youth Shelter Drop-In Center,1142 Sutter (bet. Larkin & Polk),"Drop-In Clinic for youths. Showers, lockers, food, clothing, case management, education & counseling. English, Spanish.","(415) 673-0911 ext 5 or 252, or 800-669-6196 (toll-free, 24 hrs).","Youths 12-21: M-F 8am-6pm, Sa-Sun 8am-4pm (youths 12-24, Th 2-6pm).",,"https://maps.google.com/maps?q=1142+Sutter+st+san+francisco&ie=UTF-8&hq=&hnear=0x808580946decd267:0xccc4d5487e5fd406,1142+Sutter+St,+San+Francisco,+CA+94109&gl=us&ei=ute3UKjuOcj5igLwjYHgAw&ved=0CDEQ8gEwAA",,"Y, C",,
housing,Huckleberry House,1292 PAGE (at Lyon),"Shelter for Youths. 3 meals daily for shelter guests; access to medical services, case management, and individual & family therapy. English, Spanish.",(415) 621-2929 (24 hrs),Open 24 hrs.,"Youths 11-17 who are not on probation, call if you can or show up to be assessed for short-term housing. If accepted, they’ll contact your guardians within 24 hrs.","https://maps.google.com/maps?q=1292+PAGE+san+francisco&ie=UTF-8&hq=&hnear=0x808580ac30d9c015:0x640cc6560f0626c,1292+Page+St,+San+Francisco,+CA+94117&gl=us&ei=5de3UNCJBIGeiQLrwYHoCg&ved=0CDEQ8gEwAA",,"Y, C",,
housing,Lark Inn,869 ELLIS (at Van Ness),"Shelter fo Youths 18-24.  Length of stay varies; maximum 4 months. 3 meals daily for long-term shelter guests. Job readiness training, remedial education, GED & college-entry prep available. Up to 21 nights per year of emergency shelter; show up at 9:45pm each night for lottery. English, Spanish.","(415) 749-2968 or 800-447-8223 (toll-free, 24 hrs)", Curfew 9:45pm. Leave by 8:30am,"Come in or call any time (24 hrs) to get on waiting list for a bed (40 beds nightly).  Case management required. Curfew 9:45pm. Leave
by 8:30am.","https://maps.google.com/maps?q=869+ellis+st+san+francisco+ca&ie=UTF-8&hq=&hnear=0x80858096fecb016d:0xf490fb09df21d887,869+Ellis+St,+San+Francisco,+CA+94109&gl=us&ei=Cdi3UNnBEMHKiALvuIFY&ved=0CDEQ8gEwAA",,Y,,
medical,San Francisco General Hospital,1001 Potrero Ave (at 23rd St),"Urgent and Primary Care HIV, and Pregnancy testing, Family Planning, Women's Health, Mental Health, and Prenatal Care. For SF residents. $0-full bill. Call for appt.",(415) 206-8000,M-F 8:30-5pm. closed holidays.,"Patient Advocates call (415) 206-5176. Cantonese, English, Mandarin, Russian, Spanish, and Vietnamese. Other languages available.","https://maps.google.com/maps?hl=en&client=firefox-a&q=1001+potrero+ave+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e4a51d1d7a5:0x9ae93945332a44f8,1001+Potrero+Ave,+San+Francisco,+CA+94110&gl=us&ei=gmrPUKW_DYrsiQLL-4DYCw&ved=0CDIQ8gEwAA",,,,
medical,South of Market Health Center,229 7th St (bet. Howard & Folsom),"Urgent and Primary Care, Dental, Podiatry, TB, STD, HIV, and Pregnancy testing, Transgender Services, Women's Health, Family Planning, Prenatal Care, and Immunizations. $0-full bill. Call or drop-in to make appt.",(415) 503-6000,"M-Th 8am-5pm, F-Sat 8am-3:30pm.","Cantonese, English, Mandarin, Spanish, and Tagalog.","https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=229+7th+St&ie=UTF-8&hq=&hnear=0x8085808249b34693:0x9ae8df58dd6627ce,229+7th+St,+San+Francisco,+CA+94103&gl=us&ei=OXPPUO2UEMG2igKmh4H4Ag&ved=0CDUQ8gEwAA",,,,
medical,Tom Waddell Clinic,50 Ivy St (bet. Van Ness & Polk),"Urgent Care, TB Testing, STD Testing, STD Treatment, HIV Testing, HIV Treatment, Dental,
Podiatry, Transgender Svcs, Immunizations, Women’s Health, Mental Health, Primary
Care. $0-full bill. Primary care is for homeless chronically ill people who live in the area. Come in or call for appt.","(415) 355-7400, call (415) 355-7500 for appt.",M-F 8am-5pm,"Drop-in: [1] Urgent Care Clinic M-F 8am-6pm; Sat 8:30am-4:30pm. [2] HIV or Transgender intake Tu 2-4pm. [3] Dental Clinic (6 people seen; homeless only) M & Th 7am (doors open at 8am). [4] TB Tests M-F 9-11am, 1-3pm, Sa 9am-4pm. English, Spanish.","https://maps.google.com/maps?hl=en&client=firefox-a&q=50+Ivy+St+san+francisco&ie=UTF-8&hq=&hnear=0x808580995b83164f:0x1b459c456d627ae9,50+Ivy+St,+San+Francisco,+CA+94102&gl=us&ei=eXPPUOqOFuWsigL5mICADQ&ved=0CDIQ8gEwAA",,"A, S",,
medical,BAART Community Health,433 Turk St (bet. Larkin and Hyde),"Urgent Care, TB Testing, STD Testing, STD Treatment, HIV Testing, Transgender Svcs, Immunizations, Women’s Health, Mental Health, and Primary
Care. $0-full bill. Drop-in or call for appointment.",(415) 928-7800,M-F 6am-2pm,"English, Spanish, & Tagalog.","https://maps.google.com/maps?hl=en&client=firefox-a&q=433+Turk+St+san+francisco&ie=UTF-8&hq=&hnear=0x8085809a77a80c03:0xd31fd014bf578ce1,433+Turk+St,+San+Francisco,+CA+94102&gl=us&ei=uXXPUOKSC-bmiwLk8oBY&ved=0CDIQ8gEwAA",,,,
medical,BAART Community Health,620 Stevenson (at 7th),"Urgent Care, TB Testing, STD Testing, STD Treatment, HIV Testing, Transgender Svcs, Immunizations, Women’s Health, Mental Health, and Primary
Care. $0-full bill. Drop-in or call for appointment.",(415) 863-3883,"MTuThF 7am-10:45am, 12pm-3pm; W 7am-1pm","English, Spanish, & Tagalog.","https://maps.google.com/maps?hl=en&q=620+Stevenson+san+francisco&ie=UTF-8&hq=&hnear=0x80858084ad74dc45:0xca78e537ce490ed4,620+Stevenson+St,+San+Francisco,+CA+94103&gl=us&ei=7xXnUP_WO67cigKfpIGwBw&ved=0CDIQ8gEwAA",,,,
medical,Curry Senior Center,333 TURK (btw. Hyde & Leavenworth),Primary Care and TB testing. $0-full bill. For Tenderloin-SOMA residents 55+. Substance Abuse & Case Management. Call for appt. ,(415) 885-2274,M-F 8am-5pm,"English & Spanish. For Cantonese, Laotian, Mandarin, Russian, Tagalog & Vietnamese, call for day and time.","https://maps.google.com/maps?q=333+turk+san+francisco&ie=UTF-8&hq=&hnear=0x8085809a998e9555:0xd59ea05f7f6c3ee7,333+Turk+St,+San+Francisco,+CA+94102&gl=us&ei=6dbAUKjXHMm0igLQ_4C4Dg&ved=0CDEQ8gEwAA",,S,,
medical,Mission Neighborhood Health Center,240 Shotwell,"TB Testing, Pregnancy Test, STD Testing, STD Treatment, HIV Testing, HIV Treatment,
Podiatry, Immunizations, Women’s Health, Family Planning, Mental Health, Prenatal
Care, Primary Care. Sliding scale (free to homeless). Call for appointment.",(415) 552-3870,"Mon Tues Thurs Fri 8:30am-5pm, W 9:30am-8:30pm","English, Spanish","https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=240+Shotwell+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e24e99708e9:0xb14db2bb156aa304,240+Shotwell+St,+San+Francisco,+CA+94110&gl=us&ei=eSzSUNqVJrHmiwL0hIHwAw&ved=0CDUQ8gEwAA",,,,
medical,North East Medical Services - Stockton Branch,1520 Stockton St (bet. Green & Union),"Urgent and Primary Care, Dental, Podiatry, TB, STD, HIV, and Pregnancy testing, Women's Health, Family Planning, Prenatal Care, and Immunizations. Sliding scale (outpatient medical services free to homeless). Call for appt. Pediatrics & optometry available.",(415) 391-9686,"M-F 8:30am-5:30pm, Sa 8:30am-5pm","Cantonese, English, Korean, Mandarin, Spanish, and Vietnamese.","https://maps.google.com/maps?q=1520+stockton+st+san+francisco&ie=UTF-8&hq=&hnear=0x808580f16ed9f80d:0xded86b65bd8200b,1520+Stockton+St,+San+Francisco,+CA+94133&gl=us&ei=X0nnUIf_LYqciQKLroHwDQ&ved=0CDUQ8gEwAA",,,,
medical,North East Medical Services - Noiega Branch,1450 Noriega (at 22nd Ave.),"Urgent and Primary Care, Dental, Podiatry, TB, STD, HIV, and Pregnancy testing, Women's Health, Family Planning, Prenatal Care, and Immunizations. Sliding scale (outpatient medical services free to homeless). Call for appt. Pediatrics & optometry available.",(415) 391-9686,"M-F 8:30am-5:30pm, Sa 8:30am-5pm","Cantonese, English, Korean, Mandarin, Spanish, and Vietnamese.","https://maps.google.com/maps?hl=en&q=1450+noriega+street+san+francisco&ie=UTF-8&hq=&hnear=0x80858762bd07a575:0x359eabe95564066b,1450+Noriega+St,+San+Francisco,+CA+94122&gl=us&ei=n0nnULWAJeqSiQL6gYHACw&sqi=2&ved=0CDIQ8gEwAA",,,,
medical,North East Medical Services - Leland Branch,82 Leland (bet. Alpha & Desmond),"Urgent and Primary Care, Dental, Podiatry, TB, STD, HIV, and Pregnancy testing, Women's Health, Family Planning, Prenatal Care, and Immunizations. Sliding scale (outpatient medical services free to homeless). Call for appt. Pediatrics & optometry available.",(415) 391-9686,"M-F 8:30am-5:30pm, Sa 8:30am-5pm","Cantonese, English, Korean, Mandarin, Spanish, and Vietnamese.","https://maps.google.com/maps?q=82+Leland+san+francisco&ie=UTF-8&hq=&hnear=0x808f7ed9a6c6cd57:0x82706fa51762c2c9,82+Leland+Ave,+San+Francisco,+CA+94134&gl=us&ei=wEnnUPrgL8L5igLBo4CwCA&ved=0CDUQ8gEwAA",,,,
medical,North East Medical Services - Taraval Branch,2308 Taraval (near 33rd),"Urgent and Primary Care, Dental, Podiatry, TB, STD, HIV, and Pregnancy testing, Women's Health, Family Planning, Prenatal Care, and Immunizations. Sliding scale (outpatient medical services free to homeless). Call for appt. Pediatrics & optometry available.",(415) 391-9686,"M-F 8:30am-5:30pm, Sa 8:30am-5pm","Cantonese, English, Korean, Mandarin, Spanish, and Vietnamese.","https://maps.google.com/maps?q=2308+Taraval+san+francisco&ie=UTF-8&hq=&hnear=0x808f7d828eeea655:0x1bfeef79dd9f19e,2308+Taraval+St,+San+Francisco,+CA+94116&gl=us&ei=30nnUJ_SFaqTiALCzICoCw&ved=0CDUQ8gEwAA",,,,
medical,North East Medical Services - San Bruno Branch,2574 San Bruno (bet. Burrows and Felton),"Urgent and Primary Care, Dental, Podiatry, TB, STD, HIV, and Pregnancy testing, Women's Health, Family Planning, Prenatal Care, and Immunizations. Sliding scale (outpatient medical services free to homeless). Call for appt. Pediatrics & optometry available.",(415) 391-9686,"M-F 8:30am-5:30pm, Sa 8:30am-5pm","Cantonese, English, Korean, Mandarin, Spanish, and Vietnamese.","https://maps.google.com/maps?hl=en&q=2574+San+Bruno+san+francisco&ie=UTF-8&hq=&hnear=0x808f7efcd53e6df1:0xd7d5769a4fa43bac,2574+San+Bruno+Ave,+San+Francisco,+CA+94134&gl=us&ei=BErnUN8o5NyKAtnQgGg&ved=0CDIQ8gEwAA",,,,
medical,Sister Mary Philippa Health Center,"2235 Hayes St, 5th Floor (bet. Stanyan & Shrader)","Urgent Care, HIV Testing, HIV Treatment, Podiatry, Immunizations, Primary Care. $0-full bill. Call for appt.",(415) 750-5500,M-F 8:30am-4:30pm,"Cardiology, rheumatology, orthopedics, surgery, advice nurse, social services, nutrition, diabetes education & pharmacy available. Cambodian, Cantonese, English, Mandarin, Spanish, & Vietnamese.","https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=2235+Hayes+St,+5th+Floor+san+francisco&ie=UTF-8&hq=&hnear=0x8085874e6fdeaeb1:0xd0927fa4ef844cb8,2235+Hayes+St,+San+Francisco,+CA+94117&gl=us&ei=bi7SULzxE-S9igKC24DoCg&ved=0CDUQ8gEwAA",,"A, S",,
medical,Southeast Health Center,2410 Keith St (bet. Armstrong and Bancroft),"Urgent Care, TB Testing, Pregnancy Test, STD Testing, STD Treatment, HIV Testing, HIV
Treatment, Dental, Podiatry, Immunizations, Women’s Health, Family Planning, Mental
Health, Prenatal Care, Primary Care. $0-full bill. Call for appt. MediCal applications by appt.",(415) 750-5500,M-F 8am-5pm. Drop-in: M-Th 12:30pm.,"Call about:optometry; smoking cessation; acupuncture; health education & counseling for grandparents who are primary caretakers of grandchildren; diabetics; those with family problems or those in need of geriatric or pediatric counseling; COPD better breather classes; yoga classes. English & Spanish.
Some Cantonese & Mandarin. Other languages via telephone interpreter.","https://maps.google.com/maps?hl=en&client=firefox-a&q=2410+Keith+St+san+francisco&ie=UTF-8&hq=&hnear=0x808f7f19bbbfecc5:0xe457d6f12e0bfe39,2410+Keith+St,+San+Francisco,+CA+94124&gl=us&ei=pDnSUKfEBcbKiwLYhYBg&ved=0CDYQ8gEwAA",,,,
medical,A Woman's Place,1049 HOWARD ST (bet. 6th & 7th Sts),"Free HIV Treatment, Transgender Svcs, and Primary Care for women (or MTF
transgender)",(415) 487-2140,"Drop In:Tu 10am-1pm & 3-6pm, Th 1:30-5pm. Appointment: M-F 8am-4pm.","Entrance is around the corner on Russ St. Drop-in: Doctor on duty Tu 10am-1pm &
3-6pm, Th 1:30-5pm. Substance abuse program, HIV program, support group & case management available M-F 8am-4pm.","https://maps.google.com/maps?hl=en&client=firefox-a&q=1049+howard+st+san+francisco&ie=UTF-8&hq=&hnear=0x80858083c259a3c7:0x4d0bff2db31cc27c,1049+Howard+St,+San+Francisco,+CA+94103&gl=us&ei=UTrSULPZMbDmiwK1ooDwAQ&sqi=2&ved=0CDIQ8gEwAA",W,,,
medical,Martin de Porres,225 Poterero (near 16th street),Free urgent care,(415) 552-0240,Thursday 12pm-2:30pm,"Th 12-2pm nurse practitioner; 12:30-2pm, health education, referrals, over-the-counter medications. English &Spanish.","https://maps.google.com/maps?hl=en&client=firefox-a&q=225+Potrero+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e2e06d47785:0x2ab047743401922f,225+Potrero+Ave,+San+Francisco,+CA+94103&gl=us&ei=4vTIUO2ULszriQLQ-4D4Dg&ved=0CDIQ8gEwAA",,,,
medical,Mission Neighborhood Resource Ctr.,165 Capp St (bet. 16th and 17th),"Urgent and Primary Care, Mental Health, TB, HIV, and STD testing, Transgender Services and Immunizations. Free for homeless
San Franciscans.",(415) 869-7977,Drop-in: Nurse Practitioner or doctor M-F 8:30am-12pm & M-Th 2-5pm; HIV rapid test Tu 2-4pm; Homeopathy Tu 9am-12pm. ,"Showers, lockers, laundry, case management & support groups available. English & Spanish.","https://maps.google.com/maps?hl=en&client=firefox-a&q=165+capp+st+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e236073d095:0xbe2fd314c4e459d2,165+Capp+St,+San+Francisco,+CA+94110&gl=us&ei=BzzSUK7nNIjoiwK6xYHwCg&ved=0CDIQ8gEwAA",,,,
medical,San Francisco Day Labor Program,3358 CESAR CHAVEZ (bet. Mission & S. Van Ness),Free Urgent Care and HIV testing,"(415) 252-
5375","Drop-in: M 10-11am HIV testing; Tu 9-11am, medical care","First 20 people are seen. Preference given to day laborers. Job referrals M-F 7am-1pm, Sa 7am-noon. English classes available. English & Spanish.","https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=3358+CESAR+CHAVEZ+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e443c3b6203:0x1e2da352e329998b,3358+Cesar+Chavez+St,+San+Francisco,+CA+94110&gl=us&ei=qTzSUMlWz-mJAq2agLAB&ved=0CDUQ8gEwAA",,,,
medical,Glide Health Services,"330 ELLIS ST, 6TH FLOOR (bet. Taylor & Jones)","Urgent and Primary Care, Mental Health, TB and HIV testing, Transgender Services and Immunizations. $0-full bill. For San Francisco residents 18 or over. Call for appt.",(415) 674-6140,"M-F 8:30am-5pm, or drop-in M-W 8:30am & MWTh 12:30pm; acupuncture Drop-In Tu 1-4pm, Th 1-3pm; mental health MW 8:30am; TB testing TuW 9:30-11am & 1:30-3pm.","Confidential HIV oral rapid tests, hepatitis &breast cancer screening, case management, diabetes, hypertension, smoking cessation, yoga & substance abuse services.","https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=330+ELLIS+ST+san+francisco&ie=UTF-8&hq=&hnear=0x8085808f94d546d7:0x60a6700d1d886fcf,330+Ellis+St,+San+Francisco,+CA+94102&gl=us&ei=Tz3SUJv7N6SLjALbwoGYBA&ved=0CDUQ8gEwAA",,"A, S",,
medical,HealthRIGHT 360 - Clayton Clinic,558 Clayton St (at Haight),"Primary Care. Substance abuse treatment; case management if homeless &/
or HIV+. $0-full bill. Call for an appt.",(415) 746-1950,M-F 9am-5pm,English & Spanish.,"https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=558+Clayton+St+san+francisco&ie=UTF-8&hq=&hnear=0x808587531bfdbe67:0x13eac753578fb4a1,558+Clayton+St,+San+Francisco,+CA+94117&gl=us&ei=JD7SUNHXOOf0iQKbyoCgCg&ved=0CDUQ8gEwAA",,,,
medical,HealthRIGHT 360 - Mission Clinic,1735 Mission Street (at 13th St),"HIV Testing, Mental Health, Acupuncture, and Primary Care. $0-full
bill. Call for an appt.",(415) 746-1940,M-F 9am-5pm,Substance abuse treatment; acupuncture.,"https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=1735+Mission+Street+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e211f8496b5:0xdee8251f468610cf,1735+Mission+St,+San+Francisco,+CA+94103&gl=us&ei=GkLSUKupF6iDjALDnIH4DA&ved=0CDUQ8gEwAA",,,,
medical,Huckleberry's Cole Street Clinic,555 COLE ST (at Haight),"Urgent Care, TB Testing, Pregnancy Test, STD Testing, STD Treatment, HIV Testing, HIV
Treatment, Immunizations, Women’s Health, Family Planning, Mental Health, Primary
Care. Free for homeless youth,
others call for info. Call for appt.",(415) 751-8181,"MTuWF 9am-5:30pm, Th 2-6pm. Drop-in: Th 2-6pm","Ages 12-24; if 12-18 & not homeless, parental consent is required for all primary
care services. Call 386-9398 for case management, therapy, & peer health education. Cantonese, English, & Spanish.","https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=555+COLE+ST+san+francisco&ie=UTF-8&hq=&hnear=0x808587524e0f39af:0xd7ab086a25f68fc3,555+Cole+St,+San+Francisco,+CA+94117&gl=us&ei=t0LSUJTjOeTWigKo1oCgDg&ved=0CDUQ8gEwAA",,Y,,
medical,Larkin Street Youth Clinic,1138 SUTTER (bet. Larkin & Polk).,"Urgent Care, TB Testing, Pregnancy Test, STD Testing, STD Treatment, HIV Testing, HIV
Treatment, Transgender Svcs, Immunizations, Women’s Health, Family Planning, Mental
Health, Primary Care. Youths 12-24. Free for those on MediCal or HealthySF.",(415) 673-0911. Ext. 259,"Call MWThF 9am-1pm & 2-5pm, Tu 11am-1pm & 2-5pm. Same-day appt. for some services. Drop-in: M-F 9:30am-1pm & 2-5pm.",English & Spanish.,"https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=1138+SUTTER++san+francisco&ie=UTF-8&hq=&hnear=0x808580947275a563:0x186bb018074cddac,1138+Sutter+St,+San+Francisco,+CA+94109&gl=us&ei=5UPSUL6XLcXUiwLeiYBI&ved=0CDUQ8gEwAA",,Y,,
